hour,minute,time_of_day,day_name,day_of_week,is_weekend,destination_type,distance_to_dest_miles,gas_level_pct,driver_fatigue_level,speed_mph,trip_duration_minutes,weather,traffic,heart_rate_bpm,last_break_minutes_ago,outside_temp_f,is_night_driving,suggestion_label,suggestion_name,norm_distance,norm_gas,norm_fatigue,norm_speed,norm_trip_min,norm_heart_rate,norm_last_break,norm_temp_f
20,48,evening,Mon,0,0,hospital,20.76,4.0,3.6,50.1,8.8,clear,medium,83.8,47.0,101.0,0,7,route_to_gas,0.2009,0.0471,0.3652,0.524,0.0519,0.4296,0.3368,0.9811
4,55,night,Sat,5,1,gym,4.79,16.5,3.53,45.2,1.3,clear,medium,69.2,37.1,62.4,1,4,refuel_soon,0.032,0.1389,0.3503,0.4494,0.0,0.3041,0.1674,0.5702
20,48,evening,Sun,6,1,work,0.71,27.4,3.59,51.3,16.5,snow,low,73.5,9.0,3.9,0,6,weather_warning,0.0,0.2663,0.3661,0.5536,0.1057,0.3244,0.0548,0.126
23,30,night,Sat,5,1,school,6.56,4.9,4.1,78.6,17.4,clear,low,70.6,43.7,-3.8,1,7,route_to_gas,0.08,0.0,0.4383,0.887,0.0632,0.2439,0.2505,0.0535
14,46,afternoon,Sat,5,1,home,13.99,87.9,2.83,57.6,26.9,clear,low,62.9,19.0,17.9,0,0,no_action,0.0939,0.9049,0.273,0.6387,0.1176,0.1518,0.1447,0.25
20,28,evening,Sat,5,1,gas_station,7.2,70.5,4.82,56.0,33.4,clear,medium,72.4,10.7,93.3,0,0,no_action,0.0741,0.7398,0.5047,0.6768,0.2074,0.2328,0.0572,0.8256
4,48,night,Wed,2,0,restaurant,11.75,95.4,3.63,44.9,25.9,rain,low,82.8,26.4,45.9,1,0,no_action,0.1267,0.9563,0.3758,0.5477,0.082,0.3927,0.1644,0.4185
17,5,evening,Thu,3,0,hospital,2.75,72.1,4.3,58.5,4.7,clear,medium,77.0,9.3,7.7,0,0,no_action,0.0575,0.6888,0.4258,0.6946,0.0037,0.3129,0.0576,0.1731
3,22,night,Fri,4,0,school,9.01,25.1,4.17,24.9,37.9,clear,medium,78.2,24.7,89.0,1,0,no_action,0.0525,0.2027,0.3937,0.2904,0.2263,0.3604,0.0948,0.7561
1,52,night,Fri,4,0,gas_station,17.03,18.0,4.17,66.4,36.6,snow,low,73.3,26.3,83.2,1,6,weather_warning,0.1949,0.168,0.4328,0.7298,0.2,0.316,0.0862,0.7379
23,14,night,Wed,2,0,gym,1.01,93.9,7.46,74.9,77.6,clear,low,95.5,97.0,92.1,1,1,take_break_now,0.0,0.8942,0.7192,0.8217,0.4552,0.6203,0.4973,0.8629
1,36,night,Mon,0,0,work,51.28,29.7,1.78,39.0,7.0,clear,high,69.2,69.8,7.4,1,0,no_action,0.5524,0.2869,0.134,0.4648,0.0288,0.2736,0.3994,0.1412
16,24,afternoon,Sun,6,1,grocery,0.73,6.4,2.95,60.0,13.3,rain,medium,68.9,24.9,60.6,0,7,route_to_gas,0.0,0.0507,0.2863,0.7247,0.1073,0.2068,0.1489,0.5761
13,38,afternoon,Fri,4,0,hospital,1.03,61.7,3.26,90.0,24.7,clear,medium,75.3,46.5,50.4,0,5,speed_alert,0.0052,0.5934,0.3385,0.9745,0.157,0.349,0.2691,0.495
13,20,afternoon,Thu,3,0,home,7.34,16.2,5.7,75.5,77.2,clear,medium,73.1,43.8,105.0,0,4,refuel_soon,0.146,0.1755,0.5532,0.8524,0.3822,0.2796,0.2463,0.9558
16,12,afternoon,Sat,5,1,restaurant,3.94,15.4,4.89,52.1,20.9,clear,medium,88.4,43.7,42.1,0,4,refuel_soon,0.0864,0.143,0.4606,0.5658,0.1295,0.433,0.2617,0.4176
23,35,night,Sat,5,1,grocery,2.28,86.7,5.66,51.2,27.9,rain,low,75.9,29.9,30.6,1,1,take_break_now,0.0343,0.8837,0.5745,0.6299,0.1525,0.3148,0.1432,0.3075
9,20,morning,Fri,4,0,grocery,5.51,8.4,4.58,43.5,90.7,clear,low,77.8,180.0,43.8,0,7,route_to_gas,0.0607,0.0403,0.4561,0.4914,0.4767,0.353,0.9564,0.4883
21,28,evening,Sun,6,1,gym,12.27,96.9,5.56,65.7,18.8,rain,medium,76.7,83.1,106.4,1,5,speed_alert,0.086,0.9762,0.6108,0.6806,0.0662,0.3205,0.4461,0.9942
20,27,evening,Wed,2,0,school,5.75,22.2,7.28,63.1,83.0,rain,low,76.7,6.6,3.1,0,4,refuel_soon,0.0646,0.1794,0.7417,0.6771,0.4224,0.3556,0.0437,0.0909
2,37,night,Tue,1,0,gym,0.2,72.6,2.32,48.8,3.4,rain,low,57.5,18.9,92.4,1,9,arrived_soon,0.0,0.6676,0.2224,0.5339,0.0132,0.06,0.1225,0.8691
10,43,morning,Wed,2,0,gym,11.21,11.2,5.0,49.1,118.0,clear,low,90.0,16.1,14.2,0,4,refuel_soon,0.1217,0.0859,0.5054,0.5824,0.6461,0.4494,0.0889,0.1749
23,17,night,Wed,2,0,school,4.37,92.3,6.59,66.8,47.5,rain,low,76.9,16.0,8.7,1,5,speed_alert,0.1152,0.9353,0.6706,0.7369,0.2886,0.3546,0.1262,0.1398
6,48,morning,Fri,4,0,school,40.97,11.0,1.1,48.6,4.2,clear,medium,74.0,180.0,-5.1,0,4,refuel_soon,0.34,0.081,0.0824,0.5343,0.0567,0.2927,0.9691,0.0394
18,3,evening,Sun,6,1,hospital,5.77,48.5,1.9,65.5,6.9,snow,low,69.4,31.5,30.0,0,6,weather_warning,0.0783,0.4745,0.1594,0.7252,0.0719,0.1745,0.1302,0.3054
8,13,morning,Sat,5,1,gas_station,4.8,9.4,0.7,63.2,24.2,clear,high,68.1,3.3,-6.2,0,3,refuel_now,0.0,0.0263,0.1003,0.7382,0.1038,0.1699,0.0212,0.0592
12,37,afternoon,Thu,3,0,home,49.37,36.6,4.03,85.7,69.9,fog,medium,71.6,26.9,85.9,0,6,weather_warning,0.507,0.4036,0.4218,0.9748,0.4076,0.2797,0.0961,0.8017
16,9,afternoon,Fri,4,0,hospital,29.68,42.0,6.48,55.2,104.4,clear,medium,86.8,5.3,109.0,0,2,take_break_soon,0.2953,0.4172,0.7024,0.6399,0.5805,0.4679,0.031,0.9857
3,37,night,Tue,1,0,gas_station,0.93,40.1,3.75,53.2,7.1,clear,low,82.4,3.7,63.3,1,9,arrived_soon,0.0,0.4109,0.3861,0.6293,0.0727,0.401,0.0,0.6012
22,30,night,Sun,6,1,work,14.11,49.7,5.37,49.0,4.4,rain,low,74.3,31.9,13.9,1,0,no_action,0.1063,0.4333,0.4813,0.545,0.0254,0.2999,0.2137,0.1194
12,46,afternoon,Sun,6,1,restaurant,1.8,88.6,1.47,76.4,25.0,rain,low,80.8,8.4,76.3,0,5,speed_alert,0.0152,0.8897,0.1577,0.9444,0.1646,0.3642,0.0759,0.7085
12,28,afternoon,Mon,0,0,home,2.01,26.1,2.93,25.9,16.4,fog,low,65.1,180.0,95.7,0,0,no_action,0.0,0.2864,0.253,0.2761,0.0734,0.1879,1.0,0.8508
2,57,night,Tue,1,0,hospital,5.07,6.0,4.03,54.6,21.9,snow,high,70.4,35.7,-1.4,1,6,weather_warning,0.0594,0.0977,0.3897,0.5314,0.0708,0.2302,0.1814,0.0596
1,15,night,Thu,3,0,home,3.15,77.5,2.74,60.8,18.8,rain,high,82.7,59.2,4.5,1,6,weather_warning,0.0247,0.7365,0.2761,0.6438,0.0818,0.4213,0.3454,0.102
21,42,evening,Mon,0,0,gym,31.74,60.1,3.94,50.2,26.1,fog,high,73.4,32.5,48.9,1,6,weather_warning,0.3123,0.6136,0.3867,0.5604,0.145,0.3057,0.2157,0.54
3,9,night,Wed,2,0,restaurant,3.77,17.6,4.14,68.3,11.7,rain,medium,79.2,17.8,12.5,1,5,speed_alert,0.0,0.187,0.3045,0.7071,0.0783,0.3787,0.0641,0.1659
22,20,night,Mon,0,0,gym,15.22,82.5,6.17,40.0,25.4,rain,low,75.3,49.6,-2.6,1,1,take_break_now,0.1799,0.8256,0.6088,0.4409,0.1477,0.3351,0.2455,0.0308
17,27,evening,Wed,2,0,hospital,10.97,95.8,2.99,66.0,30.3,rain,low,65.5,137.4,80.0,0,5,speed_alert,0.1278,0.9485,0.2841,0.7598,0.2127,0.248,0.8027,0.7463
21,33,evening,Tue,1,0,hospital,19.15,50.6,3.81,48.8,13.5,clear,low,78.5,35.9,68.7,1,0,no_action,0.2141,0.5178,0.3439,0.5853,0.0599,0.3062,0.1684,0.6249
4,7,night,Sun,6,1,gas_station,4.44,72.4,3.49,64.2,56.5,rain,high,62.4,11.4,65.1,1,6,weather_warning,0.0758,0.7592,0.3551,0.6988,0.3283,0.139,0.0633,0.6551
8,26,morning,Tue,1,0,school,10.06,61.3,1.42,43.6,2.4,clear,high,72.5,53.9,107.4,0,0,no_action,0.0634,0.6067,0.1452,0.5574,0.0,0.3256,0.3038,0.9905
7,15,morning,Thu,3,0,restaurant,2.99,84.4,0.8,54.1,32.2,clear,high,76.1,23.0,82.9,0,0,no_action,0.0,0.8368,0.0319,0.5737,0.1854,0.3653,0.2119,0.7567
6,58,morning,Fri,4,0,work,7.18,38.0,4.08,34.0,92.8,rain,low,75.6,18.8,50.1,0,8,food_break,0.0956,0.3854,0.3888,0.4149,0.5631,0.3348,0.1335,0.538
7,27,morning,Tue,1,0,grocery,1.87,45.0,2.21,43.1,14.7,clear,low,80.6,133.1,49.0,0,9,arrived_soon,0.0114,0.4534,0.2233,0.5127,0.071,0.3925,0.7099,0.5048
5,0,morning,Mon,0,0,grocery,20.97,12.4,3.52,51.3,60.4,snow,high,74.0,83.8,1.1,0,6,weather_warning,0.2047,0.163,0.3536,0.5716,0.3329,0.2998,0.517,0.0232
9,13,morning,Fri,4,0,home,16.22,3.4,0.47,70.5,8.3,clear,high,68.0,26.7,43.8,0,7,route_to_gas,0.1655,0.0338,0.0913,0.7093,0.0038,0.19,0.1373,0.4411
6,44,morning,Mon,0,0,restaurant,10.47,75.4,0.0,37.8,2.3,clear,low,59.0,25.0,89.2,0,0,no_action,0.0819,0.7584,0.011,0.4321,0.0,0.1383,0.1149,0.8456
8,0,morning,Mon,0,0,home,9.28,29.6,1.58,70.1,21.8,fog,low,81.3,33.6,13.5,0,6,weather_warning,0.065,0.3407,0.1263,0.7394,0.1065,0.4044,0.1834,0.176
4,19,night,Wed,2,0,gas_station,0.57,37.5,2.34,52.2,21.7,snow,low,63.7,26.9,64.3,1,6,weather_warning,0.0,0.4148,0.2325,0.6188,0.1327,0.1953,0.1224,0.6353
1,19,night,Thu,3,0,school,12.0,29.5,4.13,56.3,49.0,clear,medium,77.5,25.2,13.2,1,10,coffee_suggestion,0.1666,0.3331,0.3829,0.676,0.2564,0.3757,0.1422,0.1808
19,55,evening,Sat,5,1,grocery,3.58,63.3,5.07,44.1,36.2,clear,low,80.0,14.6,9.9,0,0,no_action,0.0658,0.6357,0.531,0.4768,0.1996,0.3713,0.0559,0.1859
4,35,night,Mon,0,0,hospital,2.25,48.4,1.22,46.0,6.1,rain,medium,67.3,60.2,92.3,1,0,no_action,0.0,0.5075,0.1237,0.5187,0.0,0.2161,0.3945,0.8769
1,16,night,Fri,4,0,home,48.18,60.6,5.9,45.1,60.3,clear,medium,83.0,26.5,2.1,1,1,take_break_now,0.5002,0.6286,0.5827,0.4265,0.3053,0.4498,0.0638,0.0907
3,7,night,Sun,6,1,gym,22.02,40.8,1.54,60.6,14.0,clear,medium,65.1,44.8,35.2,1,0,no_action,0.1733,0.4151,0.1828,0.6826,0.03,0.1844,0.271,0.3204
4,5,night,Thu,3,0,school,5.03,97.8,3.11,90.0,4.8,rain,medium,76.9,0.6,54.2,1,5,speed_alert,0.0193,1.0,0.3213,0.978,0.0541,0.3331,0.0,0.5515
18,50,evening,Sun,6,1,work,1.34,28.2,4.87,48.8,13.7,clear,medium,85.1,112.7,27.3,0,9,arrived_soon,0.002,0.2937,0.4533,0.5826,0.1136,0.4677,0.5806,0.3355
14,50,afternoon,Wed,2,0,school,6.82,61.4,4.08,77.1,18.3,rain,medium,75.3,84.0,33.4,0,5,speed_alert,0.0711,0.6513,0.3758,0.8668,0.074,0.2967,0.5111,0.3453
7,9,morning,Sun,6,1,home,40.05,58.8,5.32,72.7,94.9,clear,low,78.0,12.1,58.2,0,8,food_break,0.4082,0.6079,0.5314,0.8236,0.5146,0.4169,0.02,0.6064
3,20,night,Mon,0,0,work,3.45,95.4,3.76,51.9,13.6,clear,low,77.4,178.1,42.2,1,0,no_action,0.0622,0.9735,0.3988,0.5681,0.0475,0.3162,0.9404,0.4419
0,30,night,Sun,6,1,grocery,31.84,50.9,2.91,76.6,4.0,rain,low,87.7,25.3,97.6,1,5,speed_alert,0.3007,0.4987,0.3064,0.8477,0.0102,0.5151,0.1369,0.9657
18,37,evening,Wed,2,0,gas_station,23.02,96.6,3.52,69.8,17.4,clear,medium,67.4,8.3,79.4,0,0,no_action,0.2335,1.0,0.3518,0.7081,0.0909,0.2127,0.1089,0.7015
19,9,evening,Tue,1,0,home,1.13,90.0,6.4,42.9,71.6,clear,medium,86.2,2.3,27.0,0,9,arrived_soon,0.0107,0.8817,0.6078,0.4656,0.3645,0.4618,0.0,0.3297
4,26,night,Thu,3,0,gym,6.19,30.0,2.5,23.4,9.7,rain,low,73.3,10.9,42.7,1,0,no_action,0.0888,0.24,0.1996,0.2662,0.0327,0.3306,0.0512,0.3808
14,59,afternoon,Thu,3,0,restaurant,26.76,82.3,1.62,52.4,18.1,clear,medium,73.2,43.0,56.3,0,0,no_action,0.2326,0.883,0.1336,0.6052,0.0499,0.2621,0.2845,0.5443
3,18,night,Mon,0,0,grocery,4.24,94.8,3.03,63.3,10.8,clear,low,69.7,165.5,38.3,1,0,no_action,0.0011,0.9291,0.2813,0.7261,0.0843,0.2425,0.9075,0.4071
7,40,morning,Sun,6,1,gym,6.28,97.0,1.08,31.2,17.0,clear,high,70.3,62.1,90.2,0,0,no_action,0.0249,0.9707,0.1388,0.2802,0.105,0.2893,0.3405,0.8516
18,5,evening,Mon,0,0,grocery,13.45,31.1,3.98,34.2,32.4,snow,medium,72.6,73.9,39.4,0,0,no_action,0.1442,0.3177,0.445,0.348,0.1784,0.3159,0.4484,0.3692
4,11,night,Wed,2,0,grocery,1.39,92.1,5.38,51.2,107.5,clear,low,77.1,9.9,17.0,1,9,arrived_soon,0.0,0.9312,0.5153,0.5864,0.5985,0.3613,0.0902,0.2305
14,51,afternoon,Tue,1,0,gym,1.28,15.9,5.11,57.2,74.3,clear,high,86.8,83.4,42.9,0,4,refuel_soon,0.0131,0.1527,0.467,0.6505,0.3403,0.4799,0.4186,0.4428
16,30,afternoon,Thu,3,0,restaurant,18.84,92.6,3.52,49.2,2.7,clear,low,77.9,180.0,100.1,0,0,no_action,0.2601,0.8932,0.349,0.6008,0.0505,0.3278,1.0,0.9179
2,17,night,Thu,3,0,gym,10.75,90.1,4.32,30.8,30.3,rain,medium,73.6,1.6,16.4,1,0,no_action,0.0768,0.8849,0.4689,0.3228,0.1874,0.2789,0.0163,0.2159
9,56,morning,Sun,6,1,work,6.99,88.7,4.18,36.3,55.5,clear,high,91.8,16.3,-6.7,0,10,coffee_suggestion,0.0361,0.8718,0.4218,0.3332,0.3157,0.5793,0.0771,0.035
7,12,morning,Mon,0,0,school,39.24,64.2,2.5,56.9,10.7,snow,low,76.1,23.7,0.8,0,6,weather_warning,0.3505,0.6219,0.3074,0.666,0.0626,0.2984,0.1158,0.0922
0,37,night,Wed,2,0,school,16.18,75.6,4.01,34.5,59.2,clear,high,77.7,32.7,19.6,1,10,coffee_suggestion,0.177,0.7165,0.4212,0.3598,0.3115,0.3557,0.167,0.2731
10,41,morning,Fri,4,0,school,17.48,39.6,2.47,89.0,21.3,rain,low,65.3,157.3,71.9,0,5,speed_alert,0.1431,0.3648,0.2422,0.9526,0.1438,0.1642,0.9583,0.669
0,45,night,Sun,6,1,grocery,11.51,93.9,3.42,38.2,25.0,rain,low,75.8,20.1,100.6,1,0,no_action,0.1357,0.9752,0.3753,0.3764,0.1481,0.3534,0.062,0.9214
15,25,afternoon,Wed,2,0,gym,7.7,11.1,4.06,48.4,7.1,rain,low,75.4,43.1,81.2,0,4,refuel_soon,0.0194,0.1255,0.406,0.5385,0.0684,0.2583,0.1803,0.7679
8,15,morning,Fri,4,0,gas_station,25.8,99.2,3.44,23.4,62.4,fog,low,79.2,86.4,26.4,0,2,take_break_soon,0.2838,1.0,0.318,0.253,0.3692,0.3667,0.4467,0.3156
1,33,night,Tue,1,0,restaurant,9.48,78.7,2.28,55.2,8.6,clear,high,64.0,16.6,81.1,1,0,no_action,0.0612,0.7753,0.2476,0.5937,0.0545,0.1656,0.1125,0.7736
22,34,night,Sat,5,1,work,18.59,11.7,5.39,76.2,45.1,rain,high,82.1,17.1,98.5,1,5,speed_alert,0.1748,0.1241,0.5648,0.8297,0.2319,0.3655,0.0631,0.8491
13,18,afternoon,Sun,6,1,grocery,4.89,18.9,2.87,56.5,5.3,clear,medium,67.2,6.6,87.3,0,4,refuel_soon,0.0651,0.2198,0.2631,0.5939,0.0,0.2072,0.0194,0.764
3,24,night,Mon,0,0,home,15.08,32.1,1.42,64.3,11.1,fog,low,70.2,26.5,98.7,1,6,weather_warning,0.1274,0.3364,0.1589,0.6268,0.0973,0.1605,0.1288,0.9367
12,9,afternoon,Fri,4,0,hospital,1.38,87.2,2.47,37.1,18.2,fog,medium,77.6,15.3,16.3,0,9,arrived_soon,0.0017,0.8457,0.2857,0.3719,0.1491,0.3441,0.0503,0.1993
14,37,afternoon,Thu,3,0,school,1.15,98.9,1.91,43.7,26.0,clear,low,82.7,66.1,24.2,0,9,arrived_soon,0.0,0.9696,0.1975,0.455,0.1719,0.3731,0.3588,0.2675
8,53,morning,Fri,4,0,grocery,1.47,13.0,0.34,53.7,1.0,clear,medium,64.6,9.1,-6.2,0,4,refuel_soon,0.0656,0.0898,0.0569,0.5395,0.0121,0.2297,0.0651,0.0372
18,48,evening,Mon,0,0,grocery,4.31,16.9,3.84,42.9,34.1,clear,high,79.8,1.1,62.2,0,4,refuel_soon,0.0457,0.1803,0.393,0.474,0.1737,0.4388,0.0,0.5814
23,32,night,Thu,3,0,home,6.34,16.4,7.86,64.4,76.5,clear,high,92.5,12.4,-3.8,1,1,take_break_now,0.1111,0.1686,0.7849,0.6956,0.4427,0.5459,0.0696,0.028
23,15,night,Sun,6,1,restaurant,15.12,38.8,5.6,47.8,49.6,fog,low,85.8,6.4,37.0,1,6,weather_warning,0.1733,0.3737,0.5901,0.5016,0.2846,0.4747,0.0552,0.4493
11,27,morning,Fri,4,0,gas_station,23.25,33.2,1.75,72.4,4.7,clear,medium,70.6,38.8,102.4,0,0,no_action,0.1782,0.3137,0.1424,0.7609,0.0779,0.2654,0.2267,0.9276
18,10,evening,Thu,3,0,restaurant,0.61,37.5,2.09,25.3,3.1,clear,low,67.8,7.8,35.4,0,9,arrived_soon,0.0077,0.3102,0.1819,0.2937,0.0287,0.1884,0.048,0.4093
8,55,morning,Mon,0,0,restaurant,15.75,80.8,4.77,57.0,83.9,clear,high,84.0,44.8,101.5,0,10,coffee_suggestion,0.1033,0.8542,0.4851,0.5817,0.4448,0.4485,0.2402,0.9139
19,36,evening,Thu,3,0,gym,4.55,50.2,3.29,58.0,1.6,clear,medium,75.2,1.3,97.2,0,0,no_action,0.0687,0.5187,0.3301,0.6199,0.0111,0.3147,0.0129,0.9599
14,33,afternoon,Thu,3,0,grocery,4.38,97.4,4.99,43.0,39.3,clear,medium,85.0,99.8,60.1,0,0,no_action,0.041,0.9643,0.5802,0.4898,0.1968,0.4173,0.5262,0.6123
0,4,night,Thu,3,0,restaurant,6.8,25.1,9.68,64.0,179.8,clear,medium,98.1,85.0,8.8,1,1,take_break_now,0.0396,0.2899,0.9868,0.7294,1.0,0.6856,0.421,0.1341
8,18,morning,Wed,2,0,gas_station,25.71,31.2,1.42,62.2,36.6,clear,low,67.0,19.6,68.7,0,0,no_action,0.2012,0.2815,0.0902,0.6918,0.1997,0.1989,0.1692,0.6719
11,17,morning,Sat,5,1,work,3.0,47.8,1.11,55.2,6.5,clear,low,65.1,134.5,35.5,0,0,no_action,0.0481,0.5105,0.1024,0.5998,0.0491,0.2071,0.7344,0.4026
12,59,afternoon,Sat,5,1,grocery,2.28,25.8,2.02,45.3,5.0,snow,medium,66.5,18.1,91.1,0,6,weather_warning,0.0,0.2646,0.2068,0.5203,0.0933,0.2141,0.1154,0.8101
21,20,evening,Fri,4,0,hospital,1.85,16.2,4.86,50.4,57.7,fog,medium,71.2,45.9,25.9,1,6,weather_warning,0.0,0.1146,0.4634,0.5586,0.3557,0.234,0.2527,0.3194
5,29,morning,Sun,6,1,grocery,3.32,51.6,5.79,19.3,62.8,clear,medium,81.2,15.2,24.5,0,2,take_break_soon,0.0515,0.5101,0.5232,0.2012,0.3611,0.3571,0.1035,0.3147
7,15,morning,Wed,2,0,school,3.88,11.2,2.42,55.2,43.7,rain,low,75.0,84.8,94.2,0,4,refuel_soon,0.1071,0.1409,0.1945,0.6267,0.2769,0.3487,0.4584,0.9032
0,3,night,Sun,6,1,gym,6.9,2.4,3.82,13.6,7.7,clear,medium,73.5,44.2,50.1,1,7,route_to_gas,0.1077,0.0316,0.4066,0.159,0.084,0.2954,0.2602,0.5117
18,15,evening,Sat,5,1,grocery,2.41,54.3,3.04,55.2,13.8,clear,low,60.8,12.0,6.1,0,0,no_action,0.054,0.5158,0.2578,0.6209,0.0758,0.1204,0.0693,0.2168
6,2,morning,Wed,2,0,hospital,2.61,79.3,0.12,67.2,32.5,fog,low,61.2,2.1,56.6,0,6,weather_warning,0.0456,0.8113,0.0105,0.7523,0.145,0.0744,0.016,0.565
20,19,evening,Thu,3,0,school,17.16,50.4,5.52,77.2,58.4,clear,medium,76.3,48.3,4.9,0,2,take_break_soon,0.1644,0.5009,0.5998,0.8472,0.2514,0.3434,0.2476,0.1251
6,45,morning,Mon,0,0,gym,15.17,42.4,2.72,30.9,25.5,rain,medium,72.9,59.0,54.7,0,0,no_action,0.1251,0.3893,0.2589,0.3375,0.1225,0.3039,0.3144,0.5688
4,38,night,Tue,1,0,gym,31.51,66.5,2.45,49.7,18.9,snow,medium,66.9,53.5,16.6,1,6,weather_warning,0.2719,0.6986,0.2855,0.5297,0.0858,0.2302,0.2274,0.1659
8,31,morning,Tue,1,0,gas_station,1.34,5.1,2.81,54.7,15.9,clear,low,79.6,30.9,36.0,0,3,refuel_now,0.0062,0.0221,0.2513,0.6166,0.1183,0.366,0.1739,0.4005
23,33,night,Fri,4,0,home,18.22,17.9,8.72,67.3,92.6,clear,low,94.4,33.7,53.9,1,1,take_break_now,0.1848,0.2087,0.8534,0.6924,0.4569,0.5171,0.1478,0.5278
0,13,night,Sun,6,1,restaurant,5.74,11.0,3.3,48.1,12.5,clear,high,78.4,161.7,65.8,1,4,refuel_soon,0.0,0.1165,0.3524,0.5259,0.124,0.3285,0.9049,0.6302
7,0,morning,Sat,5,1,restaurant,2.78,43.9,1.23,55.0,12.8,fog,low,73.3,33.7,55.2,0,6,weather_warning,0.0941,0.4351,0.0574,0.5943,0.1082,0.3077,0.1945,0.5736
20,1,evening,Sat,5,1,restaurant,27.29,58.9,4.02,46.0,21.7,clear,medium,81.9,1.2,56.9,0,0,no_action,0.2732,0.6322,0.4188,0.4595,0.1139,0.4521,0.0005,0.5036
8,4,morning,Sat,5,1,home,0.26,43.4,0.95,63.1,4.6,rain,high,66.8,5.7,25.4,0,9,arrived_soon,0.0,0.3855,0.1137,0.7204,0.0402,0.2223,0.0223,0.319
16,45,afternoon,Thu,3,0,work,9.21,34.8,3.73,53.4,43.5,rain,medium,78.5,19.5,49.3,0,0,no_action,0.1173,0.3907,0.4173,0.6038,0.2431,0.3962,0.1587,0.5283
21,34,evening,Tue,1,0,grocery,11.66,39.5,2.73,77.1,4.6,snow,medium,75.5,16.2,45.7,1,6,weather_warning,0.1546,0.4364,0.2437,0.8857,0.023,0.3288,0.1041,0.4942
19,52,evening,Wed,2,0,hospital,9.41,86.9,6.69,30.9,70.8,clear,high,86.8,42.2,2.7,0,2,take_break_soon,0.0778,0.9117,0.6664,0.3492,0.4286,0.433,0.2046,0.1
14,4,afternoon,Sat,5,1,restaurant,8.95,53.0,2.92,44.8,21.9,clear,medium,69.1,14.4,31.0,0,0,no_action,0.069,0.5763,0.2988,0.4814,0.1172,0.2799,0.1241,0.3169
4,15,night,Thu,3,0,restaurant,27.46,89.4,5.71,65.3,62.6,rain,low,80.8,107.1,72.7,1,5,speed_alert,0.2923,0.8917,0.542,0.697,0.3912,0.3809,0.6441,0.6733
13,38,afternoon,Sat,5,1,school,6.6,26.9,1.59,54.7,10.7,fog,low,64.1,35.4,86.9,0,6,weather_warning,0.0357,0.2476,0.1488,0.5648,0.047,0.1795,0.1848,0.7993
21,0,evening,Fri,4,0,gas_station,2.58,38.1,4.34,60.5,44.0,rain,medium,67.4,63.9,11.0,1,6,weather_warning,0.0191,0.4111,0.4137,0.6275,0.2487,0.1647,0.3481,0.2136
