hour,time_of_day,day_of_week,is_weekend,event_category,scheduled_event,time_until_event_min,location,energy_level,phone_battery_pct,tasks_pending,last_meal_hours_ago,last_break_minutes_ago,weather,focus_score,fuel_level_pct,has_unread_email,messages_pending,last_media,is_night,suggestion_name,suggestion_label
17,evening,2,0,school,lecture,88,school,53.2,100.0,9,8.44,67.8,clear,97.0,53.8,1,4,none,0,eat_something,1
8,morning,2,0,school,exam,118,school,79.2,72.1,0,5.79,152.9,clear,20.5,66.2,0,4,music,0,study_for_class,18
0,night,0,0,none,none,999,home,52.9,72.0,0,3.56,55.4,rain,56.1,54.3,1,0,music,1,no_action,7
14,afternoon,6,1,none,none,999,home,29.2,100.0,5,0.29,2.6,rain,63.7,86.9,0,2,podcast,0,social_suggestion,16
19,evening,0,0,work,deadline,48,work,87.6,100.0,7,5.97,26.5,snow,76.9,30.5,0,4,podcast,0,no_action,7
20,evening,1,0,work,focus_work,12,work,21.6,68.9,5,0.27,27.3,rain,18.0,63.1,0,0,podcast,0,no_action,7
2,night,2,0,none,none,999,outside,13.7,60.8,5,0.37,50.1,clear,12.1,53.1,0,1,podcast,1,sleep_suggestion,15
16,afternoon,5,1,social,family_time,124,home,88.6,54.5,9,5.07,11.0,snow,8.5,70.3,0,3,none,0,no_action,7
23,night,5,1,health,medication_reminder,-3,commuting,77.3,56.3,6,0.07,45.4,rain,84.4,10.2,0,3,none,1,find_gas_station,3
5,morning,2,0,none,none,999,home,26.4,79.3,5,1.66,151.3,clear,12.0,52.8,1,3,music,1,no_action,7
9,morning,2,0,social,family_time,115,outside,62.8,73.9,2,2.74,77.7,clear,33.7,43.5,1,1,none,0,no_action,7
12,afternoon,5,1,health,gym,2,gym,86.6,66.8,7,0.18,145.1,snow,8.0,8.1,0,4,podcast,0,no_action,7
5,morning,1,0,none,none,999,outside,75.1,71.8,10,3.44,129.3,rain,28.0,76.3,1,5,podcast,1,no_action,7
3,night,2,0,social,date,-11,commuting,65.0,60.5,10,0.68,104.6,fog,32.1,57.3,0,5,none,1,send_late_message,13
9,morning,4,0,school,exam,141,school,17.9,87.7,8,0.3,0.5,rain,47.2,39.7,0,5,none,0,no_action,7
4,night,5,1,none,none,999,home,99.2,89.1,0,0.46,68.3,rain,57.4,61.4,1,2,podcast,1,no_action,7
13,afternoon,3,0,school,study_session,134,school,57.1,85.6,8,0.89,157.9,rain,45.2,90.9,0,2,music,0,take_break,20
0,night,6,1,none,none,999,outside,45.2,25.5,7,1.52,12.0,rain,11.7,89.9,1,2,none,1,no_action,7
19,evening,6,1,none,none,999,home,61.6,100.0,4,10.0,135.4,rain,14.3,64.2,0,1,podcast,0,eat_something,1
9,morning,0,0,school,exam,110,school,81.8,65.3,1,0.32,41.3,clear,59.8,40.5,0,1,none,0,study_for_class,18
4,night,3,0,social,dinner,43,restaurant,48.1,42.6,9,0.68,110.7,rain,50.6,48.0,0,3,music,1,no_action,7
11,morning,3,0,none,none,999,home,43.7,100.0,7,0.14,13.9,snow,91.1,81.8,0,4,podcast,0,no_action,7
13,afternoon,3,0,school,study_session,26,school,30.5,41.1,4,1.87,68.3,clear,80.3,37.5,0,0,none,0,no_action,7
19,evening,0,0,none,none,999,home,53.3,70.4,10,5.01,105.7,clear,14.1,85.2,0,3,music,0,no_action,7
23,night,0,0,none,none,999,home,11.2,100.0,3,2.18,32.0,clear,55.7,93.2,1,4,none,1,sleep_suggestion,15
6,morning,0,0,work,deadline,148,work,28.5,77.0,7,0.42,6.6,rain,29.4,61.4,0,1,music,0,no_action,7
16,afternoon,1,0,work,deadline,148,work,87.6,63.4,9,5.84,67.2,snow,52.7,55.7,1,3,podcast,0,no_action,7
6,morning,4,0,work,deadline,26,commuting,70.5,54.4,4,0.04,18.7,clear,65.3,46.8,0,1,podcast,0,play_podcast,10
23,night,5,1,none,none,999,home,17.8,29.7,4,2.01,132.5,clear,18.1,42.5,0,3,music,1,sleep_suggestion,15
0,night,6,1,none,none,999,home,42.7,97.1,4,0.07,149.5,clear,55.2,52.3,0,3,none,1,sleep_suggestion,15
21,night,3,0,school,study_session,171,school,52.4,79.1,0,0.4,87.3,clear,54.2,66.0,0,0,none,1,no_action,7
10,morning,5,1,none,none,999,outside,34.5,39.8,4,0.04,164.6,snow,49.8,67.5,0,4,music,0,no_action,7
11,morning,6,1,social,friends_hangout,55,home,64.0,78.4,0,2.19,31.6,clear,38.3,89.6,0,1,none,0,no_action,7
10,morning,0,0,school,exam,5,school,92.4,66.4,5,2.56,109.9,clear,66.4,95.2,1,4,music,0,take_break,20
3,night,6,1,none,none,999,outside,54.7,57.6,9,1.82,60.2,clear,34.4,68.1,0,0,music,1,no_action,7
10,morning,1,0,work,deadline,4,work,72.5,84.5,2,0.64,106.2,clear,80.7,78.3,1,0,podcast,0,take_break,20
22,night,0,0,social,dinner,31,restaurant,75.2,100.0,1,2.03,176.5,clear,22.1,82.2,1,4,music,1,no_action,7
9,morning,6,1,none,none,999,home,38.2,40.7,2,0.26,131.6,fog,97.1,100.0,1,1,music,0,read_email_alert,12
19,evening,6,1,health,doctor_appointment,156,outside,20.9,36.9,7,0.16,125.3,clear,40.4,77.5,0,0,music,0,no_action,7
21,night,0,0,health,doctor_appointment,130,outside,31.0,78.7,10,0.05,156.6,snow,52.9,87.2,1,2,none,1,no_action,7
13,afternoon,3,0,school,assignment_due,31,school,88.6,100.0,8,8.28,138.3,clear,52.3,55.9,0,0,none,0,eat_something,1
13,afternoon,5,1,none,none,999,home,35.0,88.7,0,4.82,8.1,clear,12.4,100.0,1,4,podcast,0,read_email_alert,12
10,morning,3,0,work,deadline,153,work,91.3,78.1,3,9.05,133.8,clear,94.3,88.2,0,4,podcast,0,eat_something,1
13,afternoon,1,0,school,assignment_due,26,school,80.2,56.4,6,0.86,10.4,snow,92.8,51.1,1,4,none,0,no_action,7
2,night,1,0,none,none,999,outside,77.3,100.0,4,0.07,161.1,clear,87.7,48.4,0,3,music,1,no_action,7
2,night,0,0,none,none,999,outside,93.8,70.3,5,2.66,50.7,clear,72.3,60.3,0,5,podcast,1,no_action,7
15,afternoon,4,0,none,none,999,outside,91.6,73.1,7,1.69,119.2,rain,26.7,90.8,1,2,podcast,0,read_email_alert,12
0,night,2,0,none,none,999,outside,72.8,92.5,5,2.28,111.4,clear,88.2,77.7,1,0,none,1,no_action,7
22,night,1,0,social,family_time,76,home,10.1,77.7,6,1.62,136.2,clear,8.4,61.2,0,0,music,1,no_action,7
1,night,3,0,school,study_session,78,school,78.5,64.3,4,1.56,173.3,clear,93.7,70.5,0,1,podcast,1,study_for_class,18
16,afternoon,3,0,school,assignment_due,107,school,16.7,54.6,3,3.83,178.2,rain,59.4,64.0,0,4,none,0,take_break,20
5,morning,6,1,none,none,999,home,50.1,90.3,0,0.64,179.5,clear,85.4,92.0,0,4,music,1,no_action,7
19,evening,1,0,health,gym,53,gym,95.6,40.0,4,0.33,77.8,fog,85.7,86.8,1,2,none,0,no_action,7
2,night,2,0,none,none,999,outside,29.2,66.0,1,0.06,117.3,snow,47.3,73.8,1,5,none,1,sleep_suggestion,15
20,evening,6,1,health,doctor_appointment,19,commuting,21.8,88.1,2,0.07,165.8,clear,46.2,98.2,0,0,music,0,play_music,9
19,evening,3,0,social,dinner,145,restaurant,62.4,53.5,10,0.63,143.6,fog,15.0,64.6,0,5,none,0,no_action,7
13,afternoon,6,1,health,medication_reminder,1,commuting,95.7,100.0,2,4.77,130.4,clear,24.2,83.6,1,5,music,0,find_parking,4
19,evening,0,0,social,date,129,home,17.4,97.6,6,3.48,64.4,clear,56.8,67.3,0,1,podcast,0,no_action,7
9,morning,6,1,none,none,999,home,65.5,77.3,7,1.9,53.8,fog,62.5,87.0,1,2,music,0,read_email_alert,12
10,morning,3,0,social,dinner,103,restaurant,67.9,67.1,10,1.49,131.7,rain,59.3,97.9,0,0,podcast,0,no_action,7
18,evening,6,1,health,medication_reminder,142,home,69.3,85.1,1,1.38,100.0,rain,33.2,50.7,0,2,music,0,no_action,7
9,morning,2,0,social,dinner,62,restaurant,85.6,38.4,9,0.38,172.9,rain,42.5,55.7,0,3,podcast,0,no_action,7
23,night,1,0,none,none,999,home,75.3,33.0,1,1.33,157.2,rain,65.5,100.0,1,1,podcast,1,wind_down,22
11,morning,2,0,social,family_time,9,commuting,79.8,59.8,9,1.04,108.3,clear,97.1,80.6,0,4,none,0,find_parking,4
8,morning,5,1,work,presentation,94,work,42.3,91.3,10,1.8,29.4,clear,39.9,5.0,1,4,none,0,no_action,7
7,morning,3,0,school,lecture,14,commuting,89.5,52.8,9,1.17,59.6,rain,14.6,46.0,0,2,podcast,0,play_podcast,10
21,night,3,0,work,presentation,76,work,52.7,93.2,5,3.72,145.0,clear,11.2,95.6,0,1,none,1,take_break,20
4,night,3,0,work,team_meeting,-30,work,94.0,68.7,9,0.76,91.3,clear,48.0,39.1,0,5,podcast,1,send_late_message,13
17,evening,4,0,none,none,999,outside,54.0,97.0,3,2.2,25.1,rain,20.2,5.0,0,1,none,0,no_action,7
22,night,4,0,none,none,999,home,72.3,67.2,9,3.64,170.0,clear,24.4,70.4,1,0,none,1,wind_down,22
7,morning,0,0,social,date,2,commuting,84.4,87.5,1,2.2,103.9,fog,4.8,68.5,1,0,podcast,0,find_parking,4
12,afternoon,0,0,school,exam,128,school,46.4,86.1,5,0.79,120.2,fog,87.8,73.9,0,4,podcast,0,take_break,20
23,night,5,1,none,none,999,outside,72.6,40.0,0,0.98,80.8,clear,44.4,23.9,0,2,music,1,wind_down,22
13,afternoon,5,1,health,doctor_appointment,143,home,95.6,100.0,9,3.76,164.6,clear,14.9,65.8,0,3,music,0,no_action,7
10,morning,6,1,none,none,999,home,93.4,65.7,5,0.12,168.2,clear,16.6,74.8,0,4,none,0,focus_session,5
14,afternoon,3,0,work,presentation,113,work,46.0,78.4,10,7.52,148.2,clear,85.9,53.0,1,0,music,0,eat_something,1
9,morning,3,0,work,focus_work,87,work,13.9,77.6,6,2.01,171.3,rain,51.5,99.1,0,1,none,0,take_break,20
9,morning,1,0,work,deadline,139,work,31.3,65.1,2,3.03,49.5,snow,67.1,83.8,1,2,music,0,no_action,7
0,night,6,1,none,none,999,home,87.7,85.1,4,0.49,17.2,rain,60.7,46.6,0,1,none,1,no_action,7
12,afternoon,4,0,school,assignment_due,122,school,48.5,51.9,6,2.53,124.6,clear,81.9,100.0,0,5,music,0,take_break,20
6,morning,4,0,school,lecture,66,school,43.0,31.2,0,0.84,111.1,snow,67.0,100.0,0,4,none,0,study_for_class,18
7,morning,1,0,social,date,13,commuting,70.3,42.7,0,10.0,119.1,fog,44.6,34.2,0,5,music,0,eat_something,1
3,night,4,0,social,date,0,commuting,46.9,55.1,0,1.1,147.9,clear,98.1,78.1,0,5,none,1,find_parking,4
18,evening,5,1,none,none,999,home,85.8,73.8,1,1.47,112.2,rain,86.5,84.5,0,3,podcast,0,exercise_suggestion,2
1,night,4,0,school,lecture,120,school,17.9,52.4,10,5.53,99.7,snow,28.0,31.7,1,1,music,1,sleep_suggestion,15
2,night,5,1,none,none,999,outside,44.3,74.0,5,4.21,156.3,clear,21.2,62.5,1,4,none,1,sleep_suggestion,15
1,night,2,0,none,none,999,home,84.0,73.3,3,0.28,155.2,rain,13.9,69.3,1,5,none,1,no_action,7
2,night,2,0,none,none,999,outside,16.1,62.7,3,0.05,24.3,clear,77.7,40.2,0,3,none,1,sleep_suggestion,15
13,afternoon,3,0,work,team_meeting,29,work,42.8,73.2,1,0.98,101.6,clear,5.8,59.2,1,4,music,0,prepare_for_meeting,11
14,afternoon,0,0,work,presentation,106,work,72.3,56.7,6,0.13,91.7,clear,23.3,57.4,0,4,music,0,take_break,20
5,morning,6,1,none,none,999,home,68.9,61.2,5,0.87,94.6,snow,73.4,98.2,1,5,none,1,no_action,7
20,evening,5,1,none,none,999,home,27.1,100.0,9,1.93,58.2,clear,97.6,84.9,1,4,none,0,social_suggestion,16
16,afternoon,2,0,work,presentation,108,work,18.8,100.0,3,1.34,27.0,clear,65.2,61.0,1,4,none,0,no_action,7
5,morning,1,0,none,none,999,outside,71.9,55.3,9,1.15,45.8,fog,25.3,91.0,1,3,music,1,no_action,7
1,night,2,0,none,none,999,home,50.6,81.2,0,4.28,19.0,clear,4.8,58.6,0,2,music,1,no_action,7
18,evening,2,0,school,exam,102,school,51.6,11.2,2,9.56,174.7,rain,18.5,69.6,0,4,music,0,charge_phone,0
21,night,1,0,school,assignment_due,81,school,44.4,87.2,3,0.46,21.8,rain,64.4,97.8,0,5,podcast,1,no_action,7
9,morning,4,0,school,exam,60,school,62.4,73.4,1,2.76,146.1,clear,33.8,71.7,1,0,none,0,study_for_class,18
13,afternoon,3,0,work,deadline,83,work,89.8,66.5,6,2.08,51.5,snow,25.8,58.1,0,4,podcast,0,no_action,7
20,evening,5,1,none,none,999,home,69.1,94.2,10,0.39,98.1,clear,54.0,83.4,0,1,none,0,social_suggestion,16
14,afternoon,3,0,health,gym,64,gym,40.8,42.1,0,1.07,136.5,clear,29.8,64.0,0,4,none,0,no_action,7
11,morning,6,1,none,none,999,outside,60.2,42.2,2,3.34,133.5,fog,9.9,59.2,0,1,music,0,no_action,7
9,morning,4,0,health,therapy,124,home,58.5,47.3,9,1.49,152.6,clear,74.6,100.0,0,1,podcast,0,no_action,7
19,evening,2,0,health,therapy,39,home,75.0,51.6,4,4.35,106.7,rain,0.2,12.6,0,1,music,0,start_commute,17
3,night,3,0,none,none,999,outside,53.3,76.5,9,2.06,11.7,rain,56.1,44.1,0,1,music,1,no_action,7
18,evening,6,1,school,lecture,116,school,15.3,51.5,5,0.81,141.3,clear,82.5,64.9,0,4,none,0,study_for_class,18
22,night,0,0,none,none,999,home,63.8,69.9,5,2.66,179.7,rain,42.1,62.0,0,2,music,1,wind_down,22
14,afternoon,5,1,none,none,999,outside,98.2,79.6,5,0.36,126.0,clear,51.8,30.6,0,4,none,0,focus_session,5
2,night,5,1,health,medication_reminder,38,home,82.2,62.8,5,1.23,86.9,rain,5.0,75.0,1,2,music,1,start_commute,17
3,night,5,1,work,presentation,143,work,77.6,47.0,7,2.14,172.2,clear,28.2,72.5,0,2,none,1,take_break,20
13,afternoon,1,0,work,presentation,151,work,34.1,100.0,10,0.34,153.6,clear,90.6,59.0,0,3,none,0,take_break,20
6,morning,5,1,none,none,999,outside,94.3,73.7,8,0.11,75.4,clear,98.0,77.9,0,1,none,0,exercise_suggestion,2
16,afternoon,2,0,work,deadline,54,work,20.3,31.6,9,0.33,40.6,clear,68.4,94.1,0,4,none,0,no_action,7
10,morning,0,0,health,doctor_appointment,146,home,51.2,51.3,1,1.33,29.8,rain,21.6,67.2,0,2,music,0,no_action,7
21,night,3,0,school,exam,137,school,98.0,64.4,6,3.16,89.5,snow,54.5,44.6,1,3,music,1,no_action,7
23,night,4,0,none,none,999,home,95.2,59.6,0,1.64,135.1,clear,6.5,47.8,0,3,music,1,wind_down,22
19,evening,2,0,school,exam,149,school,18.4,16.9,9,1.16,35.2,clear,35.7,39.1,1,4,music,0,no_action,7
22,night,0,0,none,none,999,home,24.2,73.7,6,2.38,142.8,rain,36.3,86.3,1,2,podcast,1,wind_down,22
0,night,3,0,health,gym,-23,gym,23.7,79.4,5,1.16,110.8,snow,11.8,84.0,0,0,music,1,sleep_suggestion,15
22,night,4,0,none,none,999,outside,89.4,45.4,10,1.12,29.2,rain,9.3,75.7,0,3,podcast,1,wind_down,22
4,night,2,0,social,dinner,-22,restaurant,73.9,76.2,8,0.75,84.8,clear,49.4,97.9,1,3,music,1,send_late_message,13
15,afternoon,4,0,school,lecture,159,school,91.5,57.0,10,2.69,34.4,rain,62.1,100.0,0,4,podcast,0,no_action,7
14,afternoon,2,0,social,date,94,home,71.8,42.5,8,0.14,31.5,rain,99.2,94.7,0,2,music,0,no_action,7
14,afternoon,5,1,social,friends_hangout,-10,commuting,88.4,84.8,1,2.91,141.9,rain,87.4,69.5,0,2,none,0,no_action,7
23,night,5,1,none,none,999,home,44.2,75.5,3,7.53,19.9,clear,42.1,92.5,0,5,none,1,sleep_suggestion,15
15,afternoon,0,0,work,presentation,148,work,85.6,85.5,8,8.01,111.8,clear,82.9,87.1,0,3,none,0,eat_something,1
5,morning,4,0,none,none,999,home,11.1,66.4,10,1.27,54.2,clear,22.6,56.3,0,0,none,1,no_action,7
3,night,3,0,none,none,999,home,90.3,95.8,0,0.41,14.2,clear,42.9,100.0,0,5,podcast,1,no_action,7
20,evening,4,0,work,team_meeting,70,work,18.4,48.8,0,4.81,120.5,clear,95.6,71.0,0,3,podcast,0,take_break,20
13,afternoon,6,1,social,friends_hangout,116,home,64.6,68.6,2,2.0,106.5,clear,51.2,88.8,0,5,podcast,0,no_action,7
2,night,5,1,none,none,999,home,98.5,66.8,5,0.63,73.3,clear,36.2,21.3,0,1,podcast,1,no_action,7
18,evening,3,0,work,deadline,154,work,27.6,66.5,7,1.89,50.5,rain,53.7,13.3,1,0,none,0,no_action,7
10,morning,3,0,school,assignment_due,59,school,29.7,12.4,8,1.01,8.0,clear,8.7,29.0,0,4,none,0,charge_phone,0
6,morning,6,1,none,none,999,home,99.4,100.0,0,0.28,49.5,clear,73.0,63.5,1,4,music,0,exercise_suggestion,2
11,morning,4,0,work,focus_work,14,work,10.2,89.2,0,2.53,149.3,rain,68.7,75.5,0,5,podcast,0,take_break,20
3,night,1,0,work,presentation,125,work,46.4,95.0,1,0.77,135.0,rain,67.9,67.8,0,2,music,1,take_break,20
13,afternoon,1,0,school,lecture,170,school,75.2,95.8,5,0.26,162.4,snow,99.1,72.2,1,0,music,0,take_break,20
2,night,2,0,none,none,999,outside,21.1,58.3,6,1.64,61.8,snow,6.7,67.3,0,2,music,1,sleep_suggestion,15
2,night,4,0,none,none,999,home,50.2,97.0,8,3.2,148.0,clear,31.9,48.2,0,1,none,1,no_action,7
21,night,3,0,work,team_meeting,121,work,48.7,44.7,0,0.31,160.2,fog,34.0,54.7,0,1,music,1,take_break,20
10,morning,6,1,work,deadline,95,work,86.2,50.4,7,1.51,151.5,fog,45.4,70.2,0,4,podcast,0,take_break,20
23,night,2,0,none,none,999,home,38.2,27.8,9,0.32,87.8,fog,11.6,28.7,1,4,music,1,sleep_suggestion,15
5,morning,3,0,none,none,999,home,64.6,50.4,5,0.33,5.6,clear,15.4,67.4,0,1,none,1,no_action,7
20,evening,2,0,health,gym,100,gym,27.5,45.4,4,0.12,61.6,fog,55.8,43.2,0,3,music,0,no_action,7
2,night,4,0,none,none,999,outside,99.4,8.7,8,4.25,112.2,rain,46.1,57.8,0,3,podcast,1,charge_phone,0
4,night,3,0,none,none,999,home,63.9,78.4,5,0.87,82.5,clear,79.1,39.5,0,0,music,1,no_action,7
8,morning,5,1,school,lecture,39,commuting,98.3,68.9,6,1.32,155.4,clear,28.6,35.7,0,2,music,0,play_music,9
18,evening,1,0,health,doctor_appointment,150,outside,84.5,70.6,2,2.89,103.2,clear,10.9,72.1,1,0,music,0,no_action,7
0,night,2,0,none,none,999,outside,93.6,94.1,9,0.06,157.0,clear,29.9,84.7,0,1,none,1,no_action,7
2,night,5,1,none,none,999,home,36.5,95.8,8,0.03,132.8,rain,6.9,77.8,0,4,podcast,1,sleep_suggestion,15
8,morning,6,1,none,none,999,home,45.9,56.5,3,2.57,50.5,clear,6.6,72.8,0,2,music,0,no_action,7
12,afternoon,4,0,social,date,14,commuting,37.0,72.8,9,0.16,90.1,clear,47.8,80.2,0,1,music,0,play_music,9
14,afternoon,6,1,social,family_time,8,commuting,23.7,32.2,6,0.62,4.0,clear,22.6,46.1,0,4,none,0,find_parking,4
18,evening,4,0,work,presentation,-6,work,62.7,5.0,1,1.96,12.9,clear,71.4,69.6,1,5,music,0,charge_phone,0
3,night,4,0,none,none,999,home,24.3,54.6,10,4.27,148.3,clear,40.2,100.0,0,0,music,1,sleep_suggestion,15
17,evening,5,1,none,none,999,outside,19.2,50.5,10,0.89,48.7,snow,57.2,93.1,1,2,music,0,read_email_alert,12
16,afternoon,5,1,social,family_time,173,home,13.8,53.3,8,1.66,167.4,rain,0.4,73.5,0,4,podcast,0,no_action,7
4,night,0,0,none,none,999,home,95.0,81.6,2,0.63,85.6,rain,4.8,44.9,0,3,podcast,1,no_action,7
2,night,6,1,social,dinner,175,restaurant,59.7,64.8,8,1.08,129.5,rain,47.2,73.2,1,0,podcast,1,no_action,7
22,night,4,0,school,assignment_due,106,school,76.5,81.4,4,0.76,116.1,rain,46.8,42.4,0,4,none,1,take_break,20
2,night,4,0,work,team_meeting,87,work,19.0,77.7,5,2.33,43.5,clear,1.9,100.0,0,1,none,1,sleep_suggestion,15
2,night,6,1,none,none,999,outside,75.2,65.6,9,4.2,7.5,rain,31.2,76.1,1,0,music,1,no_action,7
11,morning,2,0,social,date,139,outside,20.8,88.8,4,0.62,3.2,clear,73.9,79.8,0,0,none,0,no_action,7
15,afternoon,2,0,social,family_time,174,home,51.2,88.8,2,1.02,54.5,rain,93.7,81.9,0,4,music,0,no_action,7
22,night,3,0,work,focus_work,59,work,68.0,100.0,0,1.65,139.8,clear,19.6,75.8,0,1,podcast,1,take_break,20
12,afternoon,2,0,school,lecture,150,school,24.7,94.6,3,2.06,145.8,clear,72.5,66.5,0,0,music,0,take_break,20
16,afternoon,1,0,school,exam,21,school,78.5,29.8,4,0.87,170.8,rain,92.9,47.0,1,5,music,0,take_break,20
12,afternoon,6,1,school,study_session,-25,school,14.5,36.4,1,3.71,176.6,snow,24.2,58.3,1,3,podcast,0,send_late_message,13
15,afternoon,2,0,none,none,999,home,49.3,32.0,5,1.8,13.2,clear,1.4,76.6,1,4,podcast,0,read_email_alert,12
1,night,0,0,none,none,999,outside,78.2,82.6,3,0.35,85.8,clear,64.1,65.5,0,2,podcast,1,no_action,7
17,evening,5,1,none,none,999,outside,80.6,100.0,10,0.95,99.4,clear,80.8,73.7,0,2,none,0,focus_session,5
2,night,3,0,none,none,999,outside,45.8,63.0,8,5.04,178.8,rain,37.2,48.8,0,4,none,1,no_action,7
2,night,0,0,none,none,999,outside,99.3,91.6,1,0.98,103.3,rain,24.0,29.0,0,4,podcast,1,no_action,7
22,night,1,0,none,none,999,home,96.1,51.9,8,0.32,122.3,fog,58.2,83.7,0,2,music,1,wind_down,22
11,morning,1,0,health,medication_reminder,78,home,95.2,91.5,3,4.46,75.5,snow,88.9,57.7,0,4,music,0,no_action,7
8,morning,2,0,social,dinner,15,restaurant,83.0,6.9,1,3.61,59.8,rain,35.3,70.0,1,1,podcast,0,charge_phone,0
22,night,4,0,none,none,999,home,21.5,59.4,8,2.9,0.0,clear,36.2,63.0,0,5,none,1,wind_down,22
19,evening,2,0,none,none,999,outside,67.7,99.7,9,1.08,136.6,clear,32.5,42.3,0,2,none,0,focus_session,5
